Sample,runtime,version,assembly,pipeline,cov_mean,cov_median,cov_stdev,cov_min,cov_max,cov_region_length,cov_uncovered_bases,cov_percent_uncovered
sample_4c6ea,19.96 seconds,2.0.0-beta.3,hg19,BWA,186.49,125.00,168.27,6,656,1501,0,0.00
sample_5ee07,21.10 seconds,2.0.0-beta.3,hg19,BWA,209.12,160.00,148.56,9,661,1501,0,0.00
sample_037b6,21.56 seconds,2.0.0-beta.3,hg19,BWA,279.29,204.00,188.24,26,725,1501,0,0.00
sample_02350,20.35 seconds,2.0.0-beta.3,hg19,BWA,481.58,227.00,497.45,33,1768,1501,0,0.00
sample_34980,23.84 seconds,2.0.0-beta.3,hg19,BWA,451.37,306.00,337.70,43,1210,1501,0,0.00
sample_7af7d,17.79 seconds,2.0.0-beta.3,hg19,BWA,139.74,125.00,64.19,17,287,1501,0,0.00
sample_1d591,18.61 seconds,2.0.0-beta.3,hg19,BWA,68.25,65.00,35.89,3,149,1501,0,0.00
sample_e3962,19.29 seconds,2.0.0-beta.3,hg19,BWA,137.30,89.00,99.07,9,365,1501,0,0.00
sample_f7380,17.03 seconds,2.0.0-beta.3,hg19,BWA,181.51,127.00,146.53,2,572,1501,0,0.00
sample_c7d09,19.92 seconds,2.0.0-beta.3,hg19,BWA,356.87,203.00,345.40,13,1291,1501,0,0.00
sample_cf089,18.00 seconds,2.0.0-beta.3,hg19,BWA,217.89,111.00,234.56,7,801,1501,0,0.00
sample_7e78e,19.36 seconds,2.0.0-beta.3,hg19,BWA,177.84,188.00,69.13,8,327,1501,0,0.00
sample_4effc,15.87 seconds,2.0.0-beta.3,hg19,BWA,100.79,60.00,90.73,3,315,1501,0,0.00
sample_6c5ca,18.48 seconds,2.0.0-beta.3,hg19,BWA,443.79,227.00,442.73,33,1454,1501,0,0.00
sample_331d8,17.48 seconds,2.0.0-beta.3,hg19,BWA,118.28,74.00,87.12,9,316,1501,0,0.00
sample_5fdfb,15.02 seconds,2.0.0-beta.3,hg19,BWA,119.96,97.00,79.26,5,351,1501,0,0.00
sample_b5031,18.69 seconds,2.0.0-beta.3,hg19,BWA,358.88,227.00,289.79,33,1014,1501,0,0.00
sample_26077,22.48 seconds,2.0.0-beta.3,hg19,BWA,139.15,128.00,59.34,8,272,1501,0,0.00
sample_c663e,18.30 seconds,2.0.0-beta.3,hg19,BWA,75.45,77.00,41.11,1,173,1501,0,0.00
sample_308c0,15.97 seconds,2.0.0-beta.3,hg19,BWA,80.73,48.00,73.09,7,261,1501,0,0.00
sample_9b4b6,20.73 seconds,2.0.0-beta.3,hg19,BWA,610.61,313.00,589.62,49,1938,1501,0,0.00
sample_814fb,18.51 seconds,2.0.0-beta.3,hg19,BWA,169.16,165.00,76.90,12,328,1501,0,0.00
sample_1ed98,30.51 seconds,2.0.0-beta.3,hg19,BWA,368.67,226.00,323.87,33,1091,1501,0,0.00
sample_99c2b,25.48 seconds,2.0.0-beta.3,hg19,BWA,50.58,32.00,44.72,2,158,1501,0,0.00
sample_36e37,19.12 seconds,2.0.0-beta.3,hg19,BWA,118.93,116.00,48.42,9,216,1501,0,0.00
sample_7c59c,18.02 seconds,2.0.0-beta.3,hg19,BWA,144.94,140.00,62.74,6,300,1501,0,0.00
sample_779f2,20.58 seconds,2.0.0-beta.3,hg19,BWA,461.43,297.00,381.83,46,1302,1501,0,0.00
sample_a9d8b,14.16 seconds,2.0.0-beta.3,hg19,BWA,63.67,47.00,37.81,2,151,1501,0,0.00
sample_a05bd,17.57 seconds,2.0.0-beta.3,hg19,BWA,135.60,74.00,128.27,6,425,1501,0,0.00
sample_0cbbb,21.09 seconds,2.0.0-beta.3,hg19,BWA,156.49,125.00,117.20,6,489,1501,0,0.00
sample_08cc6,19.25 seconds,2.0.0-beta.3,hg19,BWA,206.80,109.00,216.21,12,727,1501,0,0.00
sample_348a0,22.91 seconds,2.0.0-beta.3,hg19,BWA,488.01,315.00,385.97,37,1349,1501,0,0.00
